#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
2	5	0	0	5	9	11	34	
3	1	0	0	14	6	11	16	
4	4	0	0	8	0	9	8	
3	9	0	0	1	1	7	4	
1	0	0	0	1	0	1	3	
3	1	0	0	0	0	3	2	
1	4	0	0	0	2	0	2	
5	4	0	0	0	0	0	1	
3	3	0	0	1	0	0	1	
3	3	0	0	0	1	0	6	
1	3	0	0	0	0	3	3	
1	3	0	0	2	4	2	7	
3	5	0	0	4	4	5	2	
0	4	0	0	2	0	0	3	
2	3	0	1	1	1	2	1	
1	2	0	0	1	4	3	3	
0	3	0	0	2	0	1	1	
1	1	0	0	2	2	1	0	
0	2	0	0	1	1	0	2	
1	1	0	0	1	2	1	2	
1	0	0	0	0	1	3	2	
2	3	0	0	1	1	0	3	
1	3	0	0	1	0	1	1	
2	5	0	0	0	0	0	0	
1	2	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
2	1	0	0	0	1	0	0	
2	1	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	
1	1	0	0	0	0	0	1	
1	0	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	
1	0	0	0	0	0	1	0	
0	1	0	0	0	0	0	0	
0	2	0	0	0	0	0	0	
1	2	0	0	0	0	0	2	
0	1	0	0	0	1	0	2	
1	1	0	0	0	0	0	1	
0	0	0	0	0	0	1	4	
0	0	0	0	0	1	1	3	
0	2	0	0	1	1	1	1	
0	1	0	0	0	0	1	1	
0	1	0	0	0	1	1	0	
0	0	0	1	1	1	0	3	
1	0	0	0	2	1	3	1	
0	0	0	0	2	0	1	0	
0	2	0	0	3	2	1	3	
0	1	0	0	1	1	1	4	
0	1	0	0	3	2	6	5	
0	2	0	0	2	0	1	5	
0	3	0	0	1	0	1	2	
0	0	0	0	0	1	1	2	
0	0	0	0	0	0	1	1	
0	0	0	0	1	0	0	0	
0	1	0	0	2	2	2	2	
0	0	0	0	2	0	0	3	
0	0	0	0	1	0	0	4	
1	1	0	0	5	0	3	8	
0	1	0	0	9	4	10	10	
1	1	0	0	6	9	10	14	
0	1	0	0	13	13	13	18	
0	0	0	0	7	7	12	16	
0	2	0	0	29	25	27	33	
0	3	0	0	53	44	42	34	
0	1	0	0	22	21	24	27	
1	3	0	0	13	9	8	17	
0	1	0	0	4	9	14	15	
0	0	0	0	5	9	12	11	
0	0	0	0	10	11	12	17	
0	0	0	0	15	20	23	30	
0	1	0	0	47	51	50	74	
0	0	0	0	126	125	108	173	
0	0	0	0	294	243	322	393	
0	0	0	0	554	557	604	792	
0	3	0	0	1212	1093	1320	1631	
0	1	0	0	3058	2646	3291	3713	
0	1	0	0	7830	6640	8223	8659	
0	1	0	0	14133	11450	14891	15461	
0	0	0	0	7944	6771	8348	8792	
1	1	0	0	3128	2595	3345	3891	
0	0	0	0	1363	1020	1311	1634	
0	0	0	0	660	489	621	786	
2	1	0	0	264	265	340	383	
0	0	0	0	123	107	131	172	
0	1	0	0	50	43	57	68	
0	0	0	0	30	22	27	34	
0	1	0	0	16	17	16	21	
0	0	0	0	10	8	11	11	
0	0	0	0	10	3	8	7	
0	1	0	0	9	12	10	16	
0	1	0	0	23	25	20	28	
0	0	0	0	51	47	52	45	
1	0	0	0	19	27	26	34	
0	1	0	0	18	13	16	21	
0	1	0	0	13	10	11	21	
0	0	0	0	13	3	13	24	
0	1	0	0	5	0	10	16	
0	0	0	0	6	2	5	9	
1	0	0	0	1	2	4	2	
0	0	0	0	2	0	1	0	
0	0	0	0	0	0	0	2	
